"Id","Assigned__c","Assigned_Location__c","CreatedById","CreatedDate","Date_recruited__c","IsDeleted","Expected_Debut_Date__c","Final_Trials_Passed__c","Name","Idol_Notes__c","Idol_Pay__c","Idol_phone__c","LastActivityDate","LastModifiedById","LastModifiedDate","LastReferencedDate","LastViewedDate","National_ID__c","Notes_on_Trainee_Progress__c","Overall_Rating__c","OwnerId","RecordTypeId","Sex__c","SystemModstamp","Trainee_Dance_Rating__c","Trainee_Foreign_Language_Competency__c","Trainee_Vocals_Rating__c","Trainee_Music_Composition_Rating__c"
"a005e000005qmAQAAY","false","","0055e000004rGBTAA2","2021-08-16T02:37:39.000Z","2021-08-02","false","","false","Kim Eung-san","","1.3123231E7","101010100","","0055e000004rGBTAA2","2021-08-18T00:58:53.000Z","","","","","0.0","0055e000004rGBTAA2","","Male","2021-08-18T00:58:53.000Z","","","",""
"a005e000006FUdCAAW","true","a055e000002LqtGAAS","0055e000004rGBTAA2","2021-08-17T21:07:29.000Z","2015-08-29","false","","false","Jeon Jung Guk","","451232.0","4212341222","","0055e000004rGBTAA2","2021-08-17T21:07:29.000Z","2021-08-17T21:07:30.000Z","2021-08-17T21:07:30.000Z","XXXXX2312","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-17T21:07:29.000Z","","","",""
"a005e000006FMDQAA4","false","","0055e000004rGBTAA2","2021-08-17T03:05:17.000Z","2021-08-16","false","","false","Stromae","","123123.0","1111111111","","0055e000004rGBTAA2","2021-08-17T03:05:17.000Z","","","","","0.0","0055e000004rGBTAA2","","Male","2021-08-17T03:05:17.000Z","","","",""
"a005e000006FUd1AAG","true","a055e000002LqtGAAS","0055e000004rGBTAA2","2021-08-17T21:04:10.000Z","2016-06-16","false","","false","Min Yoon Gi","","521232.0","7268167212","","0055e000004rGBTAA2","2021-08-17T21:04:10.000Z","2021-08-17T21:04:12.000Z","2021-08-17T21:04:12.000Z","XXXXX3123","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-17T21:04:10.000Z","","","",""
"a005e000006FUdBAAW","true","a055e000002LqtGAAS","0055e000004rGBTAA2","2021-08-17T21:04:51.000Z","2016-09-01","false","","false","Jung Ho Seok","","673132.0","8252242123","","0055e000004rGBTAA2","2021-08-17T21:04:51.000Z","2021-08-17T21:04:52.000Z","2021-08-17T21:04:52.000Z","XXX4214","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-17T21:04:51.000Z","","","",""
"a005e000006FUdpAAG","true","a055e000002LqtGAAS","0055e000004rGBTAA2","2021-08-17T21:13:23.000Z","2018-09-07","false","","false","Han Ji Sang","","124124.0","(342) 123-2451","","0055e000004rGCGAA2","2021-08-18T13:34:10.000Z","2021-08-17T21:13:25.000Z","2021-08-17T21:13:25.000Z","XXX5123","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-18T13:34:10.000Z","","","",""
"a005e000006FUXhAAO","true","a055e000002LqtGAAS","0055e000004rGBTAA2","2021-08-17T21:11:23.000Z","2018-04-19","false","","false","Seo Chang Bin","","412421.0","42134232","","0055e000004rGBTAA2","2021-08-17T21:11:23.000Z","2021-08-17T21:11:24.000Z","2021-08-17T21:11:24.000Z","XXX1214","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-17T21:11:23.000Z","","","",""
"a005e000006FUdHAAW","true","a055e000002LqtGAAS","0055e000004rGBTAA2","2021-08-17T21:10:46.000Z","2018-08-01","false","","false","Lee Min Ho","","213214.0","52123212","","0055e000004rGBTAA2","2021-08-17T21:10:46.000Z","2021-08-17T21:10:48.000Z","2021-08-17T21:10:48.000Z","XXX2212","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-17T21:10:46.000Z","","","",""
"a005e000006FUXiAAO","true","a055e000002LqtGAAS","0055e000004rGBTAA2","2021-08-17T21:14:05.000Z","2019-09-13","false","","false","Han Peter","","521321.0","(421) 412-4123","","0055e000004rGCGAA2","2021-08-18T13:34:19.000Z","2021-08-17T21:14:06.000Z","2021-08-17T21:14:06.000Z","","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-18T13:34:19.000Z","","","",""
"a005e000006FUd2AAG","true","a055e000002LqtGAAS","0055e000004rGBTAA2","2021-08-17T21:09:56.000Z","2018-08-02","false","","false","Bang Nam","","231123.0","1254121234","","0055e000004rGCGAA2","2021-08-18T13:34:02.000Z","2021-08-17T21:09:57.000Z","2021-08-17T21:09:57.000Z","","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-18T13:34:02.000Z","","","",""
"a005e000004VNmRAAW","true","a055e000002KfMaAAK","0055e000004rGBTAA2","2021-07-16T19:54:17.000Z","2021-07-16","false","","false","Kim Go-son","Fearless and determined","60000.0","4444444444","","0055e000004rGBTAA2","2021-07-20T00:02:06.000Z","2021-07-20T00:02:06.000Z","2021-07-20T00:02:06.000Z","XXXXXXXX1234","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Female","2021-08-08T06:20:05.000Z","","","",""
"a005e000004VNnZAAW","true","","0055e000004rGBTAA2","2021-07-16T20:20:35.000Z","","false","","false","So Young-hee","","","111111111","","0055e000004rGCGAA2","2021-07-19T02:43:26.000Z","2021-07-16T20:28:31.000Z","2021-07-16T20:28:31.000Z","","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Female","2021-08-08T06:20:05.000Z","","","",""
"a005e000006FVwEAAW","false","a055e000002KfMaAAK","0055e000004rGBTAA2","2021-08-18T00:54:18.000Z","2021-08-16","false","","false","Ben Learn","Great at teaching","389281.0","1234568910","","0055e000004rGBTAA2","2021-08-18T01:14:39.000Z","2021-08-18T01:14:39.000Z","2021-08-18T01:14:39.000Z","","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-18T01:14:39.000Z","","","",""
"a005e000006FVw9AAG","false","","0055e000004rGCGAA2","2021-08-18T00:35:11.000Z","","false","","false","Kim Il Jang","","","123123","","0055e000004rGCGAA2","2021-08-18T00:35:11.000Z","","","","","0.0","0055e000004rGCGAA2","0125e000000N182AAC","Male","2021-08-18T00:35:11.000Z","","","",""
"a005e000006FVwiAAG","false","a055e000002KfMaAAK","0055e000004rGBTAA2","2021-08-18T01:17:41.000Z","2017-06-15","false","","false","Harvey Hill","","41232.0","1234567891","","0055e000004rGBTAA2","2021-08-18T01:17:41.000Z","2021-08-18T01:17:42.000Z","2021-08-18T01:17:42.000Z","XX2111","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-18T01:17:41.000Z","","","",""
"a005e000006FVwnAAG","false","a055e000002KfMaAAK","0055e000004rGBTAA2","2021-08-18T01:19:11.000Z","2018-08-09","false","","false","Jacob Hayhurst","Beard game strong","123213.0","8888888888","","0055e000004rGBTAA2","2021-08-18T01:19:11.000Z","2021-08-18T01:19:11.000Z","2021-08-18T01:19:11.000Z","","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-18T01:19:11.000Z","","","",""
"a005e000006FVxHAAW","true","a055e000002KfMaAAK","0055e000004rGBTAA2","2021-08-18T01:20:16.000Z","2018-08-10","false","","false","Caroline Nordt","","1423411.0","1231231234","","0055e000004rGBTAA2","2021-08-18T01:20:16.000Z","2021-08-18T01:20:17.000Z","2021-08-18T01:20:17.000Z","","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Female","2021-08-18T01:20:16.000Z","","","",""
"a005e000006FUYZAA4","true","a055e000002KfMaAAK","0055e000004rGBTAA2","2021-08-17T20:50:54.000Z","2015-04-17","false","","false","Park Chae Young","","692791.0","3121421235","","0055e000004rGBTAA2","2021-08-17T20:50:54.000Z","2021-08-17T20:50:55.000Z","2021-08-17T20:50:55.000Z","XXXX2112","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Female","2021-08-17T20:50:54.000Z","","","",""
"a005e000006FUYKAA4","true","a055e000002KfMaAAK","0055e000004rGBTAA2","2021-08-17T20:49:20.000Z","2015-05-15","false","","false","Kim Ji Soo","","612341.0","9283021421","","0055e000004rGBTAA2","2021-08-17T22:19:03.000Z","2021-08-17T22:19:03.000Z","2021-08-17T22:19:03.000Z","XXXX3681","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Female","2021-08-17T22:19:03.000Z","","","",""
"a005e000006FUYUAA4","true","a055e000002KfMaAAK","0055e000004rGBTAA2","2021-08-17T20:50:13.000Z","2015-04-10","false","","false","Kim Jennie","","662012.0","8210284028","","0055e000004rGBTAA2","2021-08-17T20:50:13.000Z","2021-08-17T20:50:15.000Z","2021-08-17T20:50:15.000Z","XXXXX3213","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Female","2021-08-17T20:50:13.000Z","","","",""
"a005e000004WQlHAAW","true","a055e000002KfMpAAK","0055e000004rGBTAA2","2021-07-27T02:32:58.000Z","2021-03-31","false","","false","Kawagara Suki","","10001.0","2342332222","","0055e000004rGBTAA2","2021-07-27T02:32:58.000Z","2021-08-01T22:40:45.000Z","2021-08-01T22:40:45.000Z","X----","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Female","2021-07-27T02:32:58.000Z","","","",""
"a005e000004WQlGAAW","true","a055e000002KfMpAAK","0055e000004rGBTAA2","2021-07-27T02:32:05.000Z","2021-03-15","false","","false","Kang Yu-ri","","12131.0","2132221111","","0055e000004rGBTAA2","2021-07-27T02:32:05.000Z","2021-07-27T02:32:05.000Z","2021-07-27T02:32:05.000Z","XXX4124","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Female","2021-07-27T02:32:05.000Z","","","",""
"a005e000004WQlLAAW","true","a055e000002KfMpAAK","0055e000004rGBTAA2","2021-07-27T02:33:37.000Z","2021-06-18","false","","false","Jang Alyssa","","12333.0","1231233333","","0055e000004rGBTAA2","2021-07-27T02:33:37.000Z","2021-07-27T02:33:37.000Z","2021-07-27T02:33:37.000Z","XX3123","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Female","2021-07-27T02:33:37.000Z","","","",""
"a005e000004WQlBAAW","true","a055e000002KfMpAAK","0055e000004rGBTAA2","2021-07-27T02:30:57.000Z","2021-03-09","false","","false","Song Ji-eun","","11287.0","1231232222","","0055e000004rGBTAA2","2021-07-27T02:30:57.000Z","2021-07-27T02:30:57.000Z","2021-07-27T02:30:57.000Z","XXXXX3123","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Female","2021-07-27T02:30:57.000Z","","","",""
"a005e000006FUYaAAO","true","a055e000002KfMaAAK","0055e000004rGBTAA2","2021-08-17T20:51:55.000Z","2014-09-26","false","","false","Lalisa Manoban","","612721.0","4212321212","","0055e000004rGBTAA2","2021-08-17T20:51:55.000Z","2021-08-17T20:51:56.000Z","2021-08-17T20:51:56.000Z","","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Female","2021-08-17T20:51:55.000Z","","","",""
"a005e000006FUYbAAO","true","a055e000002LqtGAAS","0055e000004rGBTAA2","2021-08-17T21:02:42.000Z","2016-08-11","false","","false","Kim Nam Joon","","1241123.0","12412412","","0055e000004rGBTAA2","2021-08-17T21:02:42.000Z","2021-08-17T21:02:43.000Z","2021-08-17T21:02:43.000Z","XXX1234","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-17T21:02:42.000Z","","","",""
"a005e000004X4etAAC","false","a055e000002KfMfAAK","0055e000004rGBTAA2","2021-08-01T22:53:38.000Z","2020-06-11","false","2021-09-01","false","So Dan-i","","10000.0","2222222222","","0055e000004rGBTAA2","2021-08-02T18:22:10.000Z","2021-08-02T21:19:10.000Z","2021-08-02T21:19:10.000Z","XXXXX3123","Overall doing well although his dance skills could use some polishing before his final trials. 
English skills could use some improvement as well although his Japanese and Chinese are nearly fluent.","7.5","0055e000004rGBTAA2","0125e000000N182AAC","Male","2021-08-02T18:22:10.000Z","6.0","8.0","9.0","7.0"
"a005e000006FUdGAAW","true","a055e000002LqtGAAS","0055e000004rGBTAA2","2021-08-17T21:05:40.000Z","2015-11-14","false","","false","Park Ji Min","","512412.0","521232123","","0055e000004rGBTAA2","2021-08-17T21:05:40.000Z","2021-08-17T21:05:41.000Z","2021-08-17T21:05:41.000Z","","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-17T21:05:40.000Z","","","",""
"a005e000006FUdQAAW","true","a055e000002LqtGAAS","0055e000004rGBTAA2","2021-08-17T21:06:33.000Z","2015-08-14","false","","false","Kim Tae Hyung","","412731.0","5472512312","","0055e000004rGBTAA2","2021-08-17T21:06:33.000Z","2021-08-17T21:06:34.000Z","2021-08-17T21:06:34.000Z","XXXXX1124","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-17T21:06:33.000Z","","","",""
"a005e000004X9utAAC","false","","0055e000004rGBTAA2","2021-08-02T22:25:32.000Z","","false","","false","Jang In-guk","","","1231231234","","0055e000004rGBTAA2","2021-08-02T22:25:32.000Z","2021-08-02T22:25:34.000Z","2021-08-02T22:25:34.000Z","","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","","2021-08-02T22:25:32.000Z","","","",""
"a005e000006FWMwAAO","false","","0055e000004rGCGAA2","2021-08-18T14:24:43.000Z","2021-08-18","false","","false","Nick Brandon","","42123.0","123124554","","0055e000004rGCGAA2","2021-08-18T14:24:43.000Z","","","","","0.0","0055e000004rGCGAA2","0125e000000N182AAC","Male","2021-08-18T14:24:43.000Z","","","",""
"a005e000006FUdIAAW","true","a055e000002LqtGAAS","0055e000004rGBTAA2","2021-08-17T21:15:53.000Z","2018-07-06","false","","false","Kim Seung Min","","421234.0","44213421","","0055e000004rGBTAA2","2021-08-17T21:15:53.000Z","2021-08-17T21:15:54.000Z","2021-08-17T21:15:54.000Z","","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Male","2021-08-17T21:15:53.000Z","","","",""
"a005e000004X9vIAAS","false","","0055e000004rGBTAA2","2021-08-02T22:27:07.000Z","","false","","false","Lee Seon-mi","","","1231234123","","0055e000004rGBTAA2","2021-08-02T22:27:07.000Z","2021-08-02T22:27:08.000Z","2021-08-02T22:27:08.000Z","","","0.0","0055e000004rGBTAA2","0125e000000N187AAC","Female","2021-08-02T22:27:07.000Z","","","",""
"a005e000004XALmAAO","false","","0055e000004rGBTAA2","2021-08-03T00:08:51.000Z","","false","","false","Kim In-guk","","","1231231234","","0055e000004rGBTAA2","2021-08-03T00:08:51.000Z","2021-08-03T00:10:36.000Z","2021-08-03T00:10:36.000Z","","","8.25","0055e000004rGBTAA2","0125e000000N182AAC","Female","2021-08-03T00:08:51.000Z","9.0","10.0","7.0","7.0"
"a005e000004XAQnAAO","false","","0055e000004rGBTAA2","2021-08-03T00:29:00.000Z","","false","","false","Kim Hyorin","","","1231231234","","0055e000004rGBTAA2","2021-08-03T00:29:00.000Z","2021-08-03T00:29:43.000Z","2021-08-03T00:29:43.000Z","","","7.75","0055e000004rGBTAA2","0125e000000N182AAC","Female","2021-08-03T00:29:00.000Z","7.0","8.0","9.0","7.0"
